,year,Alcohol to aldehyde oxidation,Sulfanyl to sulfinyl,Alcohol to ketone oxidation,Sulfanyl to sulfonyl,Nitrogen oxidation,Dess-Martin aldehyde oxidation,Dess-Martin ketone oxidation,Aldehyde to acid oxidation,Methyl to formyl,Collins aldehyde oxidation
0,1976.0,9.18367346939,25.5102040816,25.5102040816,2.04081632653,14.2857142857,0.0,0.0,3.0612244898,2.04081632653,0.0
1,1977.0,19.2307692308,30.7692307692,9.61538461538,5.76923076923,7.69230769231,0.0,0.0,1.92307692308,1.92307692308,1.92307692308
2,1978.0,30.3571428571,37.5,0.0,1.78571428571,3.57142857143,0.0,0.0,3.57142857143,0.0,0.0
3,1979.0,12.0689655172,37.9310344828,3.44827586207,8.62068965517,6.89655172414,0.0,0.0,0.0,0.0,3.44827586207
4,1980.0,15.0,40.0,10.0,5.0,5.0,0.0,0.0,2.5,0.0,2.5
5,1981.0,10.6382978723,27.6595744681,6.3829787234,2.12765957447,6.3829787234,0.0,0.0,6.3829787234,4.25531914894,2.12765957447
6,1982.0,23.0769230769,26.9230769231,1.92307692308,5.76923076923,9.61538461538,0.0,0.0,1.92307692308,3.84615384615,1.92307692308
7,1983.0,4.7619047619,55.9523809524,7.14285714286,2.38095238095,3.57142857143,0.0,0.0,3.57142857143,0.0,2.38095238095
8,1984.0,14.5454545455,34.5454545455,5.45454545455,1.81818181818,16.3636363636,0.0,0.0,1.81818181818,7.27272727273,1.81818181818
9,1985.0,4.27807486631,71.6577540107,0.0,2.67379679144,4.27807486631,0.0,0.0,0.534759358289,2.67379679144,3.74331550802
10,1986.0,8.9552238806,40.2985074627,17.9104477612,4.4776119403,5.97014925373,0.0,0.0,2.98507462687,0.0,0.0
11,1987.0,13.0434782609,32.1739130435,2.60869565217,8.69565217391,9.5652173913,0.0,0.0,4.34782608696,8.69565217391,3.47826086957
12,1988.0,20.979020979,30.0699300699,7.69230769231,1.3986013986,7.69230769231,0.0,0.0,0.699300699301,4.8951048951,4.8951048951
13,1989.0,14.953271028,43.9252336449,11.214953271,0.0,5.60747663551,0.0,0.0,0.0,1.8691588785,3.73831775701
14,1990.0,21.645021645,18.6147186147,20.3463203463,1.2987012987,19.9134199134,0.0,0.0,0.0,1.7316017316,6.92640692641
15,1991.0,20.8053691275,31.5436241611,9.39597315436,2.68456375839,6.71140939597,0.0,4.69798657718,2.68456375839,0.671140939597,6.71140939597
16,1992.0,22.1052631579,28.9473684211,7.36842105263,8.94736842105,8.42105263158,0.0,0.0,1.57894736842,0.526315789474,4.21052631579
17,1993.0,24.8484848485,20.6060606061,13.9393939394,6.06060606061,8.48484848485,0.606060606061,0.0,1.81818181818,1.21212121212,3.0303030303
18,1994.0,23.0088495575,15.0442477876,15.9292035398,10.6194690265,6.19469026549,0.0,0.0,1.76991150442,1.76991150442,3.53982300885
19,1995.0,19.0082644628,16.5289256198,19.8347107438,11.5702479339,10.7438016529,0.0,0.0,0.826446280992,2.47933884298,4.13223140496
20,1996.0,13.567839196,27.135678392,26.6331658291,6.53266331658,7.53768844221,2.01005025126,0.0,3.01507537688,1.50753768844,1.00502512563
21,1997.0,33.5106382979,11.170212766,14.3617021277,5.85106382979,9.57446808511,1.06382978723,0.0,3.72340425532,0.531914893617,3.1914893617
22,1998.0,32.3529411765,10.7843137255,11.2745098039,7.8431372549,10.7843137255,0.980392156863,0.490196078431,6.37254901961,2.94117647059,2.94117647059
23,1999.0,42.8571428571,15.5844155844,7.79220779221,8.22510822511,5.62770562771,1.2987012987,0.865800865801,5.19480519481,0.4329004329,0.865800865801
24,2000.0,24.5901639344,19.262295082,11.0655737705,6.14754098361,12.2950819672,1.22950819672,0.819672131148,2.04918032787,1.22950819672,2.04918032787
25,2001.0,31.8032786885,14.4262295082,14.4262295082,9.18032786885,5.90163934426,0.327868852459,1.6393442623,4.91803278689,0.983606557377,1.6393442623
26,2002.0,23.8185255198,13.2325141777,16.8241965974,11.5311909263,8.50661625709,3.21361058601,3.59168241966,2.07939508507,3.21361058601,3.40264650284
27,2003.0,22.4137931034,16.0344827586,17.7586206897,11.3793103448,7.41379310345,2.06896551724,3.27586206897,2.24137931034,3.62068965517,3.27586206897
28,2004.0,22.4885844749,25.9132420091,11.7579908676,8.90410958904,8.56164383562,4.22374429224,3.19634703196,2.51141552511,2.16894977169,1.59817351598
29,2005.0,26.1501210654,12.1065375303,20.7021791768,10.0484261501,5.81113801453,4.6004842615,4.11622276029,2.17917675545,1.93704600484,1.69491525424
30,2006.0,27.9625779626,11.0187110187,14.0332640333,12.577962578,6.34095634096,4.46985446985,5.61330561331,2.079002079,4.88565488565,1.35135135135
31,2007.0,27.8153153153,11.8243243243,9.23423423423,10.3603603604,13.7387387387,6.86936936937,4.84234234234,3.37837837838,1.23873873874,2.13963963964
32,2008.0,30.3225806452,8.81720430108,13.4408602151,9.89247311828,8.70967741935,7.95698924731,4.83870967742,1.72043010753,3.33333333333,1.72043010753
33,2009.0,23.1063504208,8.8752869166,12.0122417751,8.79877582249,12.4713083397,10.0994644223,6.57995409334,3.90206579954,1.91277735272,2.52486610559
34,2010.0,23.4135667396,14.2961342086,10.867979577,11.5973741794,7.95040116703,8.89861415026,8.46097738877,2.84463894967,2.62582056893,1.31291028446
35,2011.0,23.4421364985,9.39663699308,11.078140455,9.29772502473,9.89119683482,7.61622156281,9.69337289812,2.07715133531,1.58259149357,2.8684470821
36,2012.0,18.5972369819,14.5589798087,12.3273113709,10.6269925611,7.75770456961,8.71413390011,8.28905419766,3.93198724761,2.01912858661,2.33793836344
