,year,Bromo Suzuki coupling,Bromo Suzuki-type coupling,Sonogashira coupling,Chloro Suzuki coupling,Stille reaction,Chloro Suzuki-type coupling,Knoevenagel condensation,Grignard reaction,Iodo Suzuki coupling,Wittig olefination,Iodo Suzuki-type coupling,Horner-Wadsworth-Emmons reaction
0,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16666666667,5.0,0.0,1.66666666667,0.0,0.833333333333
1,1977.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1052631579,6.57894736842,0.0,2.63157894737,0.0,0.0
2,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97435897436,11.5384615385,0.0,14.1025641026,0.0,3.84615384615
3,1979.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61290322581,6.45161290323,0.0,12.9032258065,0.0,1.61290322581
4,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19480519481,2.5974025974,0.0,20.7792207792,0.0,3.8961038961
5,1981.0,0.0,0.0,1.5625,0.0,0.0,0.0,1.5625,9.375,0.0,18.75,0.0,4.6875
6,1982.0,0.0,0.0,2.89855072464,0.0,0.0,0.0,1.44927536232,5.79710144928,0.0,21.7391304348,0.0,8.69565217391
7,1983.0,0.0,0.0,2.17391304348,0.0,0.0,0.0,2.17391304348,4.34782608696,0.0,4.34782608696,0.0,0.0
8,1984.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3448275862,5.1724137931,0.0,12.0689655172,0.0,3.44827586207
9,1985.0,0.0,0.0,6.36363636364,0.0,0.0,0.0,0.909090909091,6.36363636364,0.0,20.0,0.0,4.54545454545
10,1986.0,0.0,0.0,1.0752688172,0.0,0.0,0.0,4.30107526882,4.30107526882,0.0,12.9032258065,0.0,5.37634408602
11,1987.0,0.0,0.0,11.6071428571,0.0,0.0,0.0,5.35714285714,4.46428571429,0.0,13.3928571429,0.0,4.46428571429
12,1988.0,0.0,0.0,10.8974358974,0.0,0.0,0.0,3.84615384615,5.12820512821,0.0,25.0,0.0,8.33333333333
13,1989.0,0.571428571429,0.0,24.5714285714,0.0,1.71428571429,0.0,7.42857142857,9.14285714286,0.0,15.4285714286,0.0,3.42857142857
14,1990.0,0.0,0.0,16.0,0.0,0.307692307692,0.0,15.3846153846,1.84615384615,0.307692307692,19.3846153846,0.0,3.38461538462
15,1991.0,0.369003690037,0.0,15.4981549815,0.0,0.369003690037,0.0,5.90405904059,4.42804428044,0.0,9.59409594096,0.0,4.05904059041
16,1992.0,1.23966942149,0.826446280992,13.2231404959,0.0,1.23966942149,0.0,3.71900826446,12.3966942149,0.0,14.0495867769,0.826446280992,3.30578512397
17,1993.0,2.58302583026,0.369003690037,10.332103321,0.0,5.53505535055,0.0,17.7121771218,5.53505535055,0.369003690037,8.48708487085,0.369003690037,2.58302583026
18,1994.0,2.72373540856,5.05836575875,12.4513618677,0.389105058366,6.22568093385,0.389105058366,7.78210116732,10.8949416342,0.0,12.4513618677,0.0,3.89105058366
19,1995.0,3.58565737052,16.7330677291,9.96015936255,0.0,7.96812749004,0.398406374502,4.78087649402,4.38247011952,0.0,7.96812749004,0.796812749004,2.78884462151
20,1996.0,16.2857142857,0.571428571429,5.42857142857,0.0,11.7142857143,0.0,8.0,6.57142857143,0.0,11.4285714286,0.285714285714,3.42857142857
21,1997.0,6.56108597285,7.69230769231,8.14479638009,0.226244343891,10.6334841629,0.0,4.75113122172,8.37104072398,0.678733031674,8.14479638009,0.452488687783,7.9185520362
22,1998.0,3.78486055777,6.77290836653,11.3545816733,0.0,5.17928286853,0.199203187251,21.1155378486,5.37848605578,0.796812749004,10.9561752988,0.996015936255,2.39043824701
23,1999.0,5.87301587302,9.84126984127,8.4126984127,1.42857142857,7.61904761905,0.31746031746,3.96825396825,3.49206349206,0.793650793651,6.8253968254,2.22222222222,6.50793650794
24,2000.0,4.93066255778,6.16332819723,17.2573189522,0.616332819723,5.08474576271,0.770416024653,3.38983050847,5.85516178737,6.77966101695,5.70107858243,0.616332819723,4.16024653313
25,2001.0,9.55806783145,9.04419321686,18.1911613566,1.84994861254,7.70811921891,0.924974306269,5.34429599178,3.59712230216,3.59712230216,5.4470709147,1.13052415211,3.18602261048
26,2002.0,10.5287569573,10.4359925788,9.36920222635,1.90166975881,6.81818181818,0.927643784787,17.6252319109,3.24675324675,3.75695732839,4.3599257885,4.96289424861,2.04081632653
27,2003.0,15.3126538651,9.05957656327,10.4874446086,1.72328902019,6.99162973904,4.77597242738,10.2412604628,4.03741999015,2.56031511571,5.07139340226,2.70802560315,3.59428852782
28,2004.0,14.1141141141,12.012012012,11.8243243243,3.19069069069,5.55555555556,2.74024024024,6.90690690691,3.94144144144,2.96546546547,3.34084084084,1.53903903904,3.9039039039
29,2005.0,12.0074464784,17.4061433447,13.9311200745,2.79242941359,5.86410176854,3.25783431585,4.68507601613,4.18864412038,3.13372634192,3.1647533354,2.20291653739,3.13372634192
30,2006.0,14.5808019441,14.6780072904,14.2405832321,3.86391251519,5.73511543135,2.89185905225,3.88821385176,3.45078979344,3.01336573512,3.15917375456,3.76670716889,3.35358444714
31,2007.0,15.6366652841,18.685192866,7.03027789299,3.60846121941,4.313562837,8.0671920365,2.63376192451,4.58316051431,4.64537536292,1.88718374119,3.44255495645,2.42637909581
32,2008.0,17.9416737109,16.2087912088,7.92476754015,6.40321217244,4.58579881657,9.84784446323,2.07100591716,3.02197802198,3.46576500423,2.36686390533,3.0853761623,2.07100591716
33,2009.0,19.7405695542,11.1674370061,12.9417026987,7.38034888922,4.23438198897,4.458028925,2.11719099448,4.30893096765,3.39943342776,2.95213955569,3.02668853437,1.6251677352
34,2010.0,19.216287826,17.5289359922,7.27931948124,5.91270394645,5.28517640496,5.46646213917,4.78315437178,4.3369125645,3.10974759448,2.32882443174,2.07781341514,1.64551666434
35,2011.0,19.1397849462,20.0661703888,8.9164598842,7.64267990074,4.48304383788,4.76426799007,4.01985111663,3.75516956162,3.57320099256,1.98511166253,1.90239867659,0.976013234078
36,2012.0,23.8132055049,17.8289778877,8.04082263801,8.31915880625,3.89670635534,5.8141332921,2.21122622545,3.64929642802,4.06680068038,2.47409927323,3.5101283439,1.2061233957
37,2013.0,24.8715624056,18.4345723784,7.93291024479,9.88213961922,5.04684194621,6.07434270172,0.876397703234,2.68963433061,4.1855545482,1.42036869145,2.00967059535,0.785735871865
38,2014.0,24.3449173016,14.6255342873,6.46719940531,10.8158334882,6.0583534659,3.64244564207,2.65749860621,3.43802267237,5.33358111875,1.67255157034,3.54952611039,1.24512172459
39,2015.0,21.5370866845,26.1126005362,7.82841823056,7.64968722073,2.50223413762,4.61126005362,1.39410187668,2.75245755139,4.16443252904,1.80518319929,3.18141197498,1.23324396783
