,year,Heteroatom alkylation and arylation,Acylation and related processes,Deprotections,C-C bond formation,Reductions,Functional group interconversion (FGI),Functional group addition (FGA),Oxidations,Protections,Resolution,Heterocycle formation
0,1976.0,29.4228949858,18.1961526332,8.86155786818,3.78429517502,10.7852412488,13.1504257332,5.23494165878,3.09050772627,1.16682434563,4.44654683065,1.86061179439
1,1977.0,25.5739210285,20.2938475666,9.04499540863,3.48943985308,12.3507805326,13.2690541781,4.72910927456,2.38751147842,2.29568411387,4.40771349862,2.15794306703
2,1978.0,29.6541923259,17.953576504,10.2321174799,3.69493131217,10.2794883941,12.6006631928,5.87399336807,2.65277119848,1.84746565609,3.78967314069,1.42112742776
3,1979.0,26.4861683343,25.3678634491,9.53502060035,3.64920541495,12.0070629782,8.76986462625,3.76692171866,3.41377280753,1.64802825191,3.35491465568,2.00117716304
4,1980.0,28.0092592593,20.1851851852,10.8333333333,3.56481481481,10.4166666667,12.4537037037,5.27777777778,1.85185185185,1.66666666667,3.84259259259,1.89814814815
5,1981.0,24.8413034278,22.2175201016,14.3884892086,2.7084214981,8.717731697,9.8603470165,5.16292848074,1.98899703766,3.51248413034,4.27422767668,2.32754972493
6,1982.0,27.9468732706,19.3137797454,12.064194798,3.8184836746,9.68456004427,10.1826231323,4.9252905368,2.87769784173,2.54565578307,4.42722744881,2.21361372441
7,1983.0,32.7044025157,19.1299790356,10.9538784067,2.41090146751,7.80922431866,9.59119496855,5.87002096436,4.40251572327,2.0964360587,1.88679245283,3.14465408805
8,1984.0,31.8372483221,20.0083892617,13.9261744966,2.43288590604,8.13758389262,9.22818791946,4.57214765101,2.30704697987,2.39093959732,3.90100671141,1.25838926174
9,1985.0,32.9780361757,17.0542635659,12.822997416,3.55297157623,8.07493540052,8.55943152455,2.71317829457,6.04005167959,1.16279069767,5.20025839793,1.84108527132
10,1986.0,32.3824209715,18.2729375482,10.5242868157,3.58519660756,10.7941403238,10.6399383192,4.12490362375,2.58288357749,2.42868157286,2.89128758674,1.7733230532
11,1987.0,29.1216807704,19.6965275751,12.0805369128,3.26816457543,9.89203384885,9.22089290925,5.69010796615,3.35570469799,1.83834257368,3.50160490225,2.33440326816
12,1988.0,25.9359089548,22.641509434,11.7999401018,4.67205750225,8.47559149446,9.43396226415,5.45073375262,4.28271937706,1.37765798143,3.53399221324,2.39592692423
13,1989.0,31.711217729,20.4706419922,11.6061229152,3.99817226411,9.80123372173,8.9102124743,4.20379255198,2.44459675577,2.05620287868,2.8101439342,1.98766278273
14,1990.0,29.0211297973,18.6502802932,10.4355325571,7.00733074601,10.4786545925,8.19318671841,4.39844760673,4.98059508409,1.87580853816,2.24234583872,2.71668822768
15,1991.0,33.4293948127,18.629065459,11.424454508,5.57842733635,8.17208727872,9.73651708522,3.89048991354,3.06710580486,2.24372169617,2.49073692878,1.33799917662
16,1992.0,28.7146763902,20.0546946217,11.4175022789,5.51504102097,9.41203281677,8.95624430264,3.80583409298,4.32999088423,2.84867821331,2.96262534184,1.98268003646
17,1993.0,25.3710389089,21.2996389892,13.6782992379,5.43521861211,9.26594464501,9.46650621741,4.97392699559,3.30926594465,2.70758122744,2.34657039711,2.14600882471
18,1994.0,28.537583459,19.1901787637,15.7441309498,5.5352143011,9.73508507431,8.20590135688,3.91987938833,2.43377126858,2.86452724532,2.11070428602,1.72302390696
19,1995.0,27.2305909618,20.9733487833,12.3986095017,5.81691772885,9.68713789108,9.06141367323,3.96292004635,2.80417149479,3.24449594438,2.47972190035,2.34067207416
20,1996.0,28.8291090033,17.0735499922,14.974343026,5.44238843104,9.8118488571,8.55232467734,4.38501010729,3.09438656508,2.78339294044,3.60752604572,1.44612035453
21,1997.0,26.2550410235,18.6204978445,13.9201780003,6.14657210402,9.4979835906,9.63704630788,3.62953692115,2.61437908497,3.32359894312,3.42094284522,2.93422333472
22,1998.0,28.6577098484,21.4717120671,12.5477628497,6.18760014791,9.25674842845,7.51879699248,3.82102797979,2.51448292863,3.13077776408,3.82102797979,1.07235301368
23,1999.0,26.4945336125,19.4114910444,13.7008606653,7.32728541521,9.42079553385,8.02512212142,3.67527331938,2.68667131891,2.93091416609,4.96627122587,1.36078157711
24,2000.0,31.5728196444,17.9932260796,13.8865368332,6.86917866215,8.67908552075,7.62066045724,4.20194750212,2.58255715495,2.43437764606,2.80482641829,1.35478408129
25,2001.0,28.6840842076,19.440444353,15.4289240897,6.67215250634,9.88822601659,7.6390317493,3.90866076939,2.0914763766,2.18747857094,2.89378042927,1.16574093122
26,2002.0,28.4588519746,19.9785081042,13.5846691144,9.6534431808,8.9146592639,7.53111847408,3.37601862631,2.36858601236,2.43127070834,2.21635175069,1.48652279036
27,2003.0,29.0474834195,21.8090084225,13.6957317817,8.26382390039,8.58119379908,7.21813077267,3.35272816048,2.35993001587,2.40061846442,1.95711437523,1.31423688815
28,2004.0,28.2240194992,23.9613339242,13.9873698205,7.37868380235,8.75249279858,6.96044759583,3.07445158431,2.42632395302,2.09118103257,1.67571460226,1.4679813871
29,2005.0,29.1756232378,21.1049384439,15.0972892996,8.99751542391,7.73010245387,6.7697719215,3.22715725412,2.3059099411,2.13003545406,2.07141062505,1.39024594512
30,2006.0,28.4669937339,21.2294166221,14.0962743479,9.99417107884,7.74517899645,7.14042842571,3.62121727304,2.33642589984,1.96968960995,1.82882401516,1.57137999709
31,2007.0,28.1297860237,21.7258128036,14.4444930644,10.5500371942,8.17616943071,6.92688049709,2.90990241981,1.94285214195,1.87940314182,1.87065155559,1.44401172713
