,year,Hydroxy to chloro,Carboxy to carbamoyl,Carboxylic acid to acid chloride,Oxo to hydroxyimino,Cyano to carbamoyl,Carboxy ester to carbamoyl,Bromo to cyano,Pyridone to chloropyridine,Hydroxy to bromo,Chloro to amino,Azido to amino,Deoxygenation,Oxo to thioxo,Dechlorination,Carbamoyl to cyano,Cyano to carboxy
0,1976.0,13.1894484412,2.63788968825,9.35251798561,2.87769784173,3.1175059952,1.43884892086,3.35731414868,0.719424460432,4.79616306954,3.35731414868,0.959232613909,1.67865707434,2.39808153477,3.59712230216,2.39808153477,4.07673860911
1,1977.0,16.955017301,2.76816608997,19.0311418685,1.73010380623,2.42214532872,3.46020761246,2.76816608997,1.03806228374,3.11418685121,5.88235294118,0.692041522491,2.07612456747,1.73010380623,1.73010380623,1.38408304498,6.22837370242
2,1978.0,12.030075188,3.38345864662,9.02255639098,3.00751879699,5.63909774436,4.51127819549,3.38345864662,2.63157894737,3.00751879699,2.63157894737,0.751879699248,1.87969924812,1.12781954887,3.00751879699,3.75939849624,3.00751879699
3,1979.0,12.0805369128,1.34228187919,14.0939597315,6.04026845638,5.36912751678,1.34228187919,4.69798657718,2.68456375839,6.04026845638,4.02684563758,1.34228187919,2.68456375839,4.02684563758,3.35570469799,0.671140939597,3.35570469799
4,1980.0,14.8698884758,4.08921933086,12.6394052045,4.46096654275,1.11524163569,3.71747211896,2.23048327138,1.85873605948,2.97397769517,4.08921933086,1.11524163569,2.23048327138,0.0,2.97397769517,5.94795539033,4.08921933086
5,1981.0,13.7339055794,3.86266094421,14.1630901288,6.8669527897,3.00429184549,4.29184549356,3.00429184549,1.28755364807,3.86266094421,3.43347639485,1.28755364807,1.28755364807,1.28755364807,3.00429184549,5.57939914163,3.86266094421
6,1982.0,15.7608695652,2.71739130435,5.4347826087,11.9565217391,4.89130434783,4.34782608696,1.08695652174,0.0,2.71739130435,2.71739130435,1.63043478261,1.08695652174,2.71739130435,2.71739130435,2.17391304348,3.80434782609
7,1983.0,15.3005464481,2.73224043716,6.01092896175,3.27868852459,2.18579234973,4.91803278689,3.82513661202,3.82513661202,1.6393442623,1.09289617486,3.27868852459,0.0,4.37158469945,3.82513661202,1.6393442623,5.46448087432
8,1984.0,12.7272727273,1.81818181818,11.8181818182,7.27272727273,5.90909090909,3.63636363636,0.454545454545,2.27272727273,5.0,3.18181818182,1.36363636364,2.72727272727,2.72727272727,1.81818181818,0.909090909091,5.0
9,1985.0,13.5849056604,2.64150943396,10.9433962264,4.15094339623,5.66037735849,3.77358490566,4.90566037736,1.50943396226,1.50943396226,1.50943396226,1.88679245283,3.01886792453,0.754716981132,1.88679245283,1.1320754717,9.05660377358
