,year,Nitro to amino,Alkene hydrogenation,Ester to alcohol reduction,Ketone to alcohol reduction,Carboxylic acid to alcohol reduction,Amide to amine reduction,Nitrile reduction,Aldehyde to alcohol reduction,Bouveault-Blanc reduction
0,1976.0,38.5964912281,14.3274853801,7.01754385965,12.865497076,4.38596491228,4.6783625731,5.84795321637,1.46198830409,1.16959064327
1,1977.0,37.5464684015,7.06319702602,7.06319702602,15.9851301115,5.20446096654,5.94795539033,3.71747211896,2.97397769517,4.08921933086
2,1978.0,32.2580645161,11.9815668203,6.91244239631,16.1290322581,4.60829493088,10.599078341,3.6866359447,0.460829493088,3.22580645161
3,1979.0,33.8235294118,14.7058823529,4.90196078431,22.5490196078,2.94117647059,3.92156862745,2.94117647059,4.90196078431,0.980392156863
4,1980.0,17.3333333333,14.2222222222,6.66666666667,19.5555555556,20.4444444444,4.0,3.11111111111,2.66666666667,3.11111111111
5,1981.0,28.1553398058,15.5339805825,4.85436893204,19.4174757282,2.91262135922,5.82524271845,2.91262135922,2.91262135922,2.42718446602
6,1982.0,28.5714285714,12.0,9.71428571429,25.7142857143,3.42857142857,5.71428571429,4.0,2.28571428571,2.85714285714
7,1983.0,27.5167785235,10.067114094,6.71140939597,18.1208053691,4.02684563758,6.04026845638,4.02684563758,6.71140939597,3.35570469799
8,1984.0,28.3505154639,8.76288659794,11.8556701031,12.8865979381,3.60824742268,6.18556701031,4.12371134021,3.60824742268,5.15463917526
9,1985.0,18.8,14.0,7.6,19.2,6.4,6.8,4.0,2.8,6.4
10,1986.0,23.2142857143,15.3571428571,4.64285714286,25.7142857143,2.85714285714,11.0714285714,4.28571428571,1.78571428571,5.0
11,1987.0,33.9233038348,11.209439528,5.30973451327,17.4041297935,5.60471976401,5.60471976401,6.19469026549,2.65486725664,6.78466076696
12,1988.0,32.8621908127,10.9540636042,14.1342756184,8.83392226148,3.53356890459,9.89399293286,4.94699646643,3.18021201413,4.24028268551
13,1989.0,28.9044289044,15.3846153846,10.9557109557,13.5198135198,5.36130536131,5.12820512821,3.7296037296,4.1958041958,2.0979020979
14,1990.0,21.3991769547,16.4609053498,13.9917695473,11.9341563786,4.93827160494,8.64197530864,4.73251028807,3.49794238683,4.93827160494
15,1991.0,22.4181360202,14.8614609572,10.5793450882,12.5944584383,6.80100755668,8.8161209068,5.28967254408,4.28211586902,4.53400503778
16,1992.0,18.401937046,17.4334140436,9.200968523,13.5593220339,9.68523002421,9.200968523,2.42130750605,3.87409200969,8.47457627119
17,1993.0,23.5930735931,15.5844155844,11.038961039,12.1212121212,7.14285714286,5.19480519481,4.11255411255,5.41125541126,6.92640692641
18,1994.0,27.8761061947,17.9203539823,9.51327433628,9.07079646018,4.20353982301,8.40707964602,4.20353982301,3.53982300885,6.19469026549
19,1995.0,26.7942583732,16.985645933,9.09090909091,14.1148325359,3.82775119617,5.02392344498,3.11004784689,4.78468899522,4.06698564593
20,1996.0,36.9255150555,16.9572107765,10.618066561,8.71632329635,4.91283676704,7.44849445325,2.06022187005,3.48652931854,4.91283676704
