,year,Bromination,Methylation,Nitration,Chlorination,Wohl-Ziegler bromination,Iodination,Formylation,Chlorosulfonation,Alkene hydration
0,1976.0,25.3012048193,22.2891566265,16.265060241,7.22891566265,15.0602409639,0.0,6.6265060241,3.01204819277,0.0
1,1977.0,18.4466019417,11.6504854369,22.3300970874,8.73786407767,12.6213592233,4.85436893204,10.6796116505,0.0,5.82524271845
2,1978.0,23.3870967742,15.3225806452,15.3225806452,13.7096774194,19.3548387097,0.0,7.25806451613,1.61290322581,1.61290322581
3,1979.0,26.5625,14.0625,25.0,6.25,9.375,1.5625,7.8125,1.5625,1.5625
4,1980.0,21.9298245614,13.1578947368,13.1578947368,9.64912280702,13.1578947368,0.0,21.0526315789,3.50877192982,1.75438596491
5,1981.0,22.131147541,9.01639344262,13.1147540984,36.8852459016,5.73770491803,0.819672131148,4.91803278689,0.0,0.819672131148
6,1982.0,20.2247191011,19.1011235955,16.8539325843,22.4719101124,7.86516853933,3.37078651685,5.61797752809,4.49438202247,0.0
7,1983.0,30.3571428571,13.3928571429,16.0714285714,12.5,8.92857142857,0.892857142857,16.0714285714,0.892857142857,0.0
8,1984.0,29.3577981651,16.5137614679,20.1834862385,10.0917431193,9.17431192661,4.5871559633,5.50458715596,1.83486238532,0.917431192661
9,1985.0,26.1904761905,8.33333333333,19.0476190476,22.619047619,7.14285714286,2.38095238095,9.52380952381,1.19047619048,1.19047619048
10,1986.0,22.4299065421,10.2803738318,18.691588785,11.214953271,15.8878504673,2.80373831776,12.1495327103,6.54205607477,0.0
11,1987.0,29.7435897436,12.3076923077,17.9487179487,14.8717948718,3.07692307692,3.58974358974,9.74358974359,6.66666666667,1.02564102564
12,1988.0,24.7252747253,14.2857142857,17.032967033,12.0879120879,10.4395604396,7.14285714286,9.89010989011,2.74725274725,1.64835164835
13,1989.0,28.8043478261,11.4130434783,23.9130434783,10.8695652174,9.78260869565,5.4347826087,5.4347826087,0.54347826087,3.26086956522
14,1990.0,22.0588235294,11.7647058824,22.5490196078,7.35294117647,14.7058823529,1.96078431373,10.7843137255,0.980392156863,6.37254901961
15,1991.0,28.0423280423,14.8148148148,22.2222222222,11.6402116402,6.87830687831,2.6455026455,6.34920634921,4.2328042328,2.1164021164
16,1992.0,19.1616766467,17.9640718563,22.1556886228,10.7784431138,8.98203592814,5.9880239521,11.9760479042,1.19760479042,1.19760479042
17,1993.0,21.3709677419,10.0806451613,21.7741935484,9.27419354839,22.9838709677,4.03225806452,5.24193548387,1.61290322581,2.01612903226
18,1994.0,28.5714285714,10.989010989,23.6263736264,6.04395604396,15.9340659341,6.04395604396,4.3956043956,0.549450549451,3.2967032967
19,1995.0,17.5438596491,12.865497076,18.7134502924,16.9590643275,15.7894736842,2.92397660819,10.5263157895,2.33918128655,1.75438596491
20,1996.0,24.4680851064,12.7659574468,29.7872340426,9.57446808511,9.92907801418,2.48226950355,4.60992907801,2.48226950355,2.12765957447
21,1997.0,24.9042145594,13.0268199234,25.2873563218,9.19540229885,9.19540229885,3.44827586207,4.59770114943,1.14942528736,3.83141762452
22,1998.0,20.3225806452,14.1935483871,21.935483871,7.09677419355,12.5806451613,3.22580645161,12.2580645161,2.58064516129,3.54838709677
23,1999.0,21.2025316456,18.0379746835,21.5189873418,9.17721518987,8.22784810127,4.11392405063,5.69620253165,6.96202531646,2.84810126582
24,2000.0,26.7002518892,9.82367758186,21.1586901763,8.8161209068,14.3576826196,7.80856423174,3.77833753149,2.01511335013,4.03022670025
25,2001.0,36.1403508772,10.350877193,12.4561403509,8.24561403509,9.29824561404,5.78947368421,9.64912280702,4.21052631579,2.28070175439
26,2002.0,26.1273209549,12.7320954907,11.4058355438,9.54907161804,13.1299734748,9.54907161804,6.63129973475,4.77453580902,3.58090185676
27,2003.0,32.645631068,11.5291262136,13.3495145631,10.3155339806,9.22330097087,5.82524271845,8.37378640777,3.64077669903,3.39805825243
28,2004.0,24.4144144144,11.0810810811,16.4864864865,14.954954955,8.1981981982,6.03603603604,7.92792792793,5.31531531532,2.25225225225
29,2005.0,25.6920415225,12.8027681661,11.3321799308,13.4083044983,12.1972318339,7.95847750865,7.35294117647,5.10380622837,1.73010380623
30,2006.0,36.8209255533,12.0053655265,9.99329309188,9.72501676727,6.5057008719,10.9993293092,6.43863179074,3.08517773307,1.67672702884
31,2007.0,37.0676691729,11.0526315789,10.6015037594,9.17293233083,9.02255639098,10.977443609,5.18796992481,2.70676691729,2.55639097744
32,2008.0,33.6346029697,12.2659780504,11.3621691414,12.0077469335,8.45706907682,9.8773402195,4.58360232408,2.84054228535,2.19496449322
33,2009.0,33.5040983607,11.9364754098,10.143442623,13.3196721311,10.4508196721,10.3995901639,3.99590163934,2.45901639344,1.79303278689
34,2010.0,31.9541375872,13.4097706879,10.2691924227,12.6121635095,10.0697906281,10.518444666,3.43968095713,1.8444666002,2.99102691924
35,2011.0,33.1336129419,12.7022168963,8.7477531456,11.2642300779,9.46674655482,11.7435590174,3.47513481126,2.03714799281,3.71479928101
36,2012.0,33.0293159609,11.4006514658,10.0977198697,10.8794788274,8.72964169381,14.5928338762,3.12703583062,1.17263843648,4.2996742671
37,2013.0,30.7011572498,11.7767188564,7.62423417291,13.410483322,9.93873383254,14.1592920354,3.60789652825,1.36147038802,2.04220558203
38,2014.0,34.9593495935,10.7723577236,7.24932249322,11.1111111111,9.48509485095,13.8211382114,4.13279132791,2.23577235772,2.71002710027
39,2015.0,34.5364472753,11.2526539278,5.73248407643,13.4465675867,8.70488322718,12.4557678698,5.02476999292,2.12314225053,3.3262561925
