,year,Chloro N-arylation,Williamson ether synthesis,Bromo N-alkylation,Chloro N-alkylation,Aldehyde reductive amination,SNAr ether synthesis,Mitsunobu aryl ether synthesis,Fluoro N-arylation,Bromo N-arylation,Thioether synthesis,Ketone reductive amination,Iodo N-methylation,Methyl esterification
0,1976.0,9.96784565916,13.0760986066,11.6827438371,20.578778135,0.85744908896,3.64415862808,3.42979635584,1.17899249732,0.96463022508,5.14469453376,1.28617363344,2.25080385852,2.78670953912
1,1977.0,6.82226211849,14.9012567325,7.71992818671,12.7468581688,5.02692998205,3.77019748654,3.59066427289,0.897666068223,1.25673249551,4.30879712747,2.51346499102,1.6157989228,4.66786355476
2,1978.0,4.47284345048,26.517571885,9.26517571885,13.7380191693,1.43769968051,5.43130990415,1.7571884984,2.23642172524,0.479233226837,6.07028753994,2.07667731629,3.67412140575,2.71565495208
3,1979.0,14.2222222222,17.5555555556,11.7777777778,16.0,0.444444444444,5.11111111111,2.22222222222,1.11111111111,0.888888888889,4.44444444444,2.44444444444,2.88888888889,3.11111111111
4,1980.0,9.09090909091,16.8595041322,15.3719008264,20.0,1.65289256198,2.14876033058,2.14876033058,0.0,0.99173553719,4.29752066116,1.48760330579,2.97520661157,2.80991735537
5,1981.0,10.9028960818,9.02896081772,19.2504258944,11.9250425894,2.04429301533,2.38500851789,4.77001703578,0.170357751278,0.170357751278,8.85860306644,3.066439523,2.55536626917,4.25894378194
6,1982.0,12.0792079208,14.8514851485,17.8217821782,15.8415841584,1.9801980198,7.92079207921,5.34653465347,0.594059405941,1.18811881188,1.9801980198,3.9603960396,3.76237623762,2.37623762376
7,1983.0,4.00641025641,11.2179487179,15.5448717949,18.108974359,0.320512820513,2.40384615385,3.04487179487,2.5641025641,1.92307692308,8.97435897436,9.77564102564,1.76282051282,1.44230769231
8,1984.0,18.4453227931,17.3913043478,12.9117259552,13.9657444005,1.18577075099,2.37154150198,4.47957839262,0.658761528327,0.790513833992,6.32411067194,5.00658761528,1.71277997365,2.37154150198
9,1985.0,16.5523996082,25.0734573947,9.10871694417,10.5778648384,1.76297747307,1.56709108717,0.783545543585,1.86092066601,2.15475024486,10.3819784525,4.30950048972,2.6444662096,1.95886385896
10,1986.0,7.14285714286,16.1904761905,9.52380952381,24.2857142857,2.2619047619,4.16666666667,1.78571428571,2.38095238095,0.238095238095,3.80952380952,6.07142857143,1.42857142857,2.7380952381
11,1987.0,12.2244488978,14.8296593186,14.7294589178,10.621242485,1.60320641283,3.50701402806,2.70541082164,5.81162324649,2.30460921844,6.91382765531,2.00400801603,3.80761523046,2.70541082164
12,1988.0,12.1247113164,18.7066974596,9.12240184758,10.9699769053,5.08083140878,4.61893764434,5.4272517321,5.08083140878,2.42494226328,4.73441108545,0.692840646651,2.54041570439,1.84757505774
13,1989.0,8.21325648415,19.5965417867,12.6801152738,15.6340057637,1.58501440922,2.80979827089,2.23342939481,6.91642651297,0.21613832853,10.2305475504,2.80979827089,1.87319884726,1.29682997118
14,1990.0,10.4011887073,17.6820208024,13.4472511144,14.0416047548,2.08023774146,2.82317979198,2.52600297177,6.61218424963,1.11441307578,6.24071322437,2.52600297177,2.30312035661,1.41158989599
15,1991.0,9.29802955665,18.4113300493,9.85221674877,16.1945812808,2.46305418719,4.80295566502,1.72413793103,11.6995073892,0.923645320197,5.23399014778,1.72413793103,2.03201970443,1.78571428571
16,1992.0,8.01587301587,21.5873015873,12.3015873016,16.9047619048,1.34920634921,3.09523809524,2.85714285714,2.77777777778,0.714285714286,7.14285714286,3.09523809524,2.46031746032,1.8253968254
17,1993.0,6.95652173913,23.3201581028,14.5454545455,11.6205533597,1.89723320158,2.84584980237,2.13438735178,2.29249011858,0.474308300395,7.74703557312,2.76679841897,3.32015810277,3.39920948617
18,1994.0,5.96226415094,23.7735849057,15.320754717,11.320754717,2.49056603774,2.03773584906,4.75471698113,4.67924528302,0.679245283019,2.94339622642,2.33962264151,3.16981132075,2.64150943396
19,1995.0,6.72340425532,19.829787234,15.914893617,15.829787234,2.46808510638,3.91489361702,3.14893617021,2.12765957447,0.595744680851,6.12765957447,2.12765957447,2.04255319149,3.40425531915
20,1996.0,13.0528586839,14.7788565264,12.405609493,11.5426105717,4.85436893204,4.36893203883,4.63861920173,3.77562028047,0.701186623517,5.82524271845,3.07443365696,3.29018338727,1.67206040992
21,1997.0,9.90466101695,14.6716101695,16.1546610169,12.7648305085,4.02542372881,3.01906779661,4.66101694915,2.38347457627,0.370762711864,5.82627118644,2.01271186441,2.91313559322,3.01906779661
22,1998.0,14.7956989247,16.0430107527,16.9462365591,9.72043010753,5.4623655914,3.01075268817,5.63440860215,1.54838709677,0.516129032258,5.89247311828,1.89247311828,2.36559139785,2.66666666667
23,1999.0,9.21861281826,15.4960491659,12.9499561018,9.9209833187,4.03863037752,3.86303775241,8.82352941176,5.66286215979,2.01931518876,4.52151009658,2.58999122037,2.89727831431,2.45829675154
24,2000.0,25.7794166946,15.6889037881,10.2916526986,8.85015085484,3.25175997318,5.19611129735,3.1847133758,4.39155212873,0.402279584311,3.78813275226,1.77673483071,2.07844451894,2.11196781763
25,2001.0,14.7740855845,17.0451828831,11.2359550562,7.91298111403,5.61797752809,5.57016495338,4.327038011,2.84484819508,3.53813052833,3.13172364332,2.72531675831,1.84078412623,2.0081281377
26,2002.0,17.3851478918,11.5796098175,11.4065449969,9.86469477659,8.30711139081,4.98741346759,3.96475770925,3.14663310258,1.55758338578,2.59597230963,3.88609188169,2.02957835116,2.23410950283
