,year,Chloro N-arylation,Williamson ether synthesis,Bromo N-alkylation,Chloro N-alkylation,Aldehyde reductive amination,SNAr ether synthesis,Mitsunobu aryl ether synthesis,Fluoro N-arylation,Bromo N-arylation,Thioether synthesis,Ketone reductive amination,Iodo N-methylation,Methyl esterification
27,2003.0,16.7810617734,12.9569967783,11.0799831909,8.47457627119,6.13531306906,6.34542653033,5.88317691553,2.92758089368,2.59139935565,2.75949012467,3.40383807256,1.75094551058,2.31124807396
28,2004.0,13.7684003925,13.6506378803,9.96074582924,11.0009813543,6.78115799804,7.71344455348,4.76938174681,2.68891069676,1.82531894014,3.23846908734,2.95387634936,2.48282630029,1.93326790972
29,2005.0,12.2667687303,13.1087934169,11.5587025165,6.86058750359,10.1042962396,6.14295282748,4.80336809875,3.10018180078,2.03808248015,2.58348483399,3.38723567123,2.38254712468,2.10506171658
30,2006.0,12.3538947189,13.2326593294,9.84557631601,6.82535619828,10.8693797458,8.83030458152,4.7436225578,4.5644569576,3.14819554646,3.07141028922,2.55950857435,1.962289907,1.81725108779
31,2007.0,12.4523605818,14.0546006067,10.0101112235,7.86342070467,8.52453916155,7.66897409971,3.71781908688,4.18449093879,1.92891032123,2.37224858054,2.44224935833,2.41113790153,2.17780197558
32,2008.0,16.5197568389,9.90121580547,11.1094224924,7.54559270517,8.73100303951,6.99088145897,4.09574468085,3.52583586626,2.80395136778,2.72796352584,2.90273556231,2.12765957447,1.78571428571
33,2009.0,18.0933969673,11.1641394309,9.89548722286,5.80559415212,10.5479369299,7.66024285628,3.44952576572,3.37099015284,2.86957047061,2.26545037153,2.39835679333,2.10233794478,2.07213193983
34,2010.0,15.593339352,9.37405958471,11.2548901595,5.29641889859,9.67499247668,8.28067007724,3.74661450497,3.87701875815,5.1359213562,2.82876918447,3.09960878724,2.26201223794,1.79055070719
35,2011.0,17.5384404174,8.89621087315,9.84349258649,5.46403075233,6.5966501922,8.8893465129,3.74107633169,3.71361889072,5.36106534871,2.67710049423,3.6106534871,2.21718835805,2.08676551345
36,2012.0,17.1888564438,9.86504616842,9.52568858022,4.86938678873,6.76347565307,6.88974824402,4.9088469734,3.84342198721,4.46689290506,2.33604293268,3.13313866309,3.022650146,1.99668534449
37,2013.0,17.464206416,8.19998468724,10.8873746268,6.88308705306,6.07151060409,7.92435494985,2.66442079473,3.2233366511,7.14340402726,1.91409539851,2.17441237271,2.73332822908,1.58487098997
38,2014.0,14.4076082126,10.0791040796,9.27917518443,5.96391431873,6.83494800462,9.15474180073,4.49737801084,3.69744911563,5.37729979557,1.75984356946,2.74642254022,2.11536752289,1.93760554617
39,2015.0,16.5254237288,10.376428853,11.35199054,5.8730784391,7.47930626724,7.08513992905,4.91722506898,3.79385100512,3.37997635002,1.9215608987,2.56208119827,2.08908159243,2.08908159243
